feature,mean,std,min,q01,median,q99,max,zero_share,neg_share,q99_to_median,skew_proxy,log1p_candidate
max_size_80ms_w1,0.3499534334230045,1.331118525660386,0.0,0.0,0.01899999938905239,5.5370001792907715,174.7209930419922,0.34936475917471776,0.0,291.4210714386199,290.4210714386199,True
avg_size_80ms_w1,0.05833833000426802,0.2363642960737064,0.0,0.0,0.008200000040233135,0.8519999980926514,18.415000915527344,0.34936475917471776,0.0,103.90243828199152,102.90243828199152,True
same_count_80ms_w1,0.8268482146016917,7.135108741231253,0.0,0.0,0.0,6.0,566.0,0.740680775265126,0.0,6000000000000.0,5999999999999.0,True
opp_count_80ms_w1,8.723221974495996,19.722743279044597,0.0,0.0,1.0,73.0,1782.0,0.4304803529508912,0.0,73.0,72.0,True
total_same_80ms_w1,0.07976837598543843,1.2575815225845919,0.0,0.0,0.0,1.1239999532699585,201.8780059814453,0.740680775265126,0.0,1123999953269.9585,1123999953268.9585,True
total_opp_80ms_w1,0.6134112640029789,3.752275394796122,0.0,0.0,0.010999999940395355,9.556339731216399,982.7579956054688,0.4304803529508912,0.0,868.7581620907655,867.7581620907655,True
max_size_80ms_w2,0.241152027268382,1.190249761648988,0.0,0.0,0.0020000000949949026,4.4661700677871545,194.48699951171875,0.4551880949853134,0.0,2233.0849278277346,2232.0849278277346,True
avg_size_80ms_w2,0.04938942312372766,0.22058714821148365,0.0,0.0,0.0020000000949949026,0.8055849748849787,15.0,0.4551880949853134,0.0,402.7924683108737,401.7924683108737,True
same_count_80ms_w2,0.9621096837361833,7.847341469799559,0.0,0.0,0.0,14.0,539.0,0.7434234584940604,0.0,14000000000000.0,13999999999999.0,True
opp_count_80ms_w2,5.215359615906383,16.308614623464067,0.0,0.0,0.0,64.0,1299.0,0.5661812412263628,0.0,64000000000000.0,63999999999999.0,True
total_same_80ms_w2,0.08778876926854855,1.2786155592567339,0.0,0.0,0.0,1.2879999876022339,218.75100708007812,0.7434234584940604,0.0,1287999987602.234,1287999987601.234,True
total_opp_80ms_w2,0.38796019863173303,2.6922835709784856,0.0,0.0,0.0,7.026339998245207,302.3380126953125,0.5661812412263628,0.0,7026339998245.207,7026339998244.207,True
max_size_1s_w0,1.6454093526954456,3.686881051794995,0.0010000000474974513,0.03099999949336052,0.7179999947547913,12.559170083999618,470.81298828125,0.0,0.0,17.491880467615854,16.491880467615854,False
avg_size_1s_w0,0.08107002053272319,0.13760173740287468,0.0009999999310821295,0.0075680775428190825,0.04518221318721771,0.5756306469440389,10.0,0.0,0.0,12.740204747360359,11.740204747360359,False
same_count_1s_w0,14.936632220924608,44.88569390818883,0.0,0.0,3.0,211.0,1521.0,0.13054582345377547,0.0,70.33333333333333,69.33333333333333,True
opp_count_1s_w0,52.8716955090774,61.30849610581321,0.0,1.0,36.0,286.0,2267.0,0.00015335433108020432,0.0,7.944444444444445,6.944444444444445,False
total_same_1s_w0,1.3559822225221134,7.08346851394148,0.0,0.0,0.0729999989271164,23.18768022537225,825.2969970703125,0.13054582345377547,0.0,317.6394598104441,316.6394598104441,True
total_opp_1s_w0,3.686521911838026,10.074341535169427,0.0,0.039000000804662704,1.4609999656677246,36.12585018157951,1109.3299560546875,0.00015335433108020432,0.0,24.72679741992247,23.72679741992247,True
max_size_1s_w1,1.0758388631021238,3.432926300661903,0.0,0.0,0.28999999165534973,10.088000297546387,563.0280151367188,0.025905085465548358,0.0,34.78620892353494,33.78620892353494,True
avg_size_1s_w1,0.0742226038677983,0.13697807696087025,0.0,0.0,0.03737499937415123,0.5860000252723694,9.732000350952148,0.025905085465548358,0.0,15.678930704615622,14.678930704615622,False
same_count_1s_w1,18.322539547722688,49.907093098641816,0.0,0.0,3.0,232.0,2604.0,0.13574217597999316,0.0,77.33333333333333,76.33333333333333,True
opp_count_1s_w1,23.985475575373655,50.59855354663737,0.0,0.0,5.0,229.0,1676.0,0.09413891543098465,0.0,45.8,44.8,True
total_same_1s_w1,1.5364226616544008,7.944873394199725,0.0,0.0,0.09099999815225601,24.04851037979121,1259.8909912109375,0.13574217597999316,0.0,264.2693501988276,263.2693501988276,True
total_opp_1s_w1,1.83949027727589,7.806795764302754,0.0,0.0,0.23100000619888306,24.676170501708967,566.9190063476562,0.09413891543098465,0.0,106.82324605854613,105.82324605854613,True
max_size_1s_w2,1.040963094699067,3.754246959795331,0.0,0.0,0.27000001072883606,10.0,584.8170166015625,0.027574288376921354,0.0,37.037035565317474,36.037035565317474,True
avg_size_1s_w2,0.07568589945766015,0.14327558160809384,0.0,0.0,0.03741576708853245,0.6085000038146973,11.0,0.027574288376921354,0.0,16.263197340706036,15.263197340706036,False
same_count_1s_w2,18.79648110792606,50.23312115819141,0.0,0.0,3.0,224.0,1681.0,0.13457137464463084,0.0,74.66666666666667,73.66666666666667,True
opp_count_1s_w2,21.439351311179532,49.04474771022664,0.0,0.0,4.0,220.0,2791.0,0.1015589057578653,0.0,55.0,54.0,True
total_same_1s_w2,1.5540959380585,7.954095524955612,0.0,0.0,0.10100000351667404,23.28037986755348,705.6380004882812,0.13457137464463084,0.0,230.49880254420125,229.49880254420125,True
total_opp_1s_w2,1.6851224716906845,8.406741283961539,0.0,0.0,0.18199999630451202,22.896679859161313,1264.2239990234375,0.1015589057578653,0.0,125.80593584656943,124.80593584656943,True
max_size_5s_w0,3.3956688788525065,7.343260620889252,0.004000000189989805,0.11400000005960464,1.9450000524520874,20.05500030517578,584.8170166015625,0.0,0.0,10.311053863413616,9.311053863413616,False
avg_size_5s_w0,0.07165063075351673,0.06207981371805023,0.0024303796235471964,0.012879863334819674,0.05554781295359135,0.2999597370624541,2.2079200744628906,0.0,0.0,5.400027851916729,4.400027851916729,False
same_count_5s_w0,92.55355605100802,162.5487073951789,0.0,1.0,25.0,752.1699999999837,5119.0,0.003942975781812176,0.0,30.086799999999347,29.086799999999347,True
opp_count_5s_w0,142.2408636208137,165.52533630838067,0.0,6.0,93.0,776.0,4848.0,2.949121751542391e-06,0.0,8.344086021505376,7.344086021505376,False
